event_id,dataset_index,particle_valid,particle_truth,particle_pred,particle_correct,particle_confidence,p_muon,p_electron,p_photon,p_proton,stop_truth,stop_pred,stop_probability,stop_threshold,stop_case,hit_channels,trigger_bars,total_edep_MeV,max_channel_edep_MeV,hodoscopes_hit,time_span_ns,spatial_span_mm,hodo0_edep_MeV,hodo1_edep_MeV,hodo2_edep_MeV
996943,53786,0,mixed/unsupported,muon,0,0.5001969933509827,0.5001969933509827,0.00036626894143410027,0.4994359314441681,7.887045967436279e-07,0,1,0.9999847412109375,0.7809543609619141,FP,8,8,50.17518615722656,9.131244659423828,2,19501.05859375,684.3206176757812,0.0,26.386722564697266,23.788461685180664
224824,12165,0,mixed/unsupported,photon,0,0.9891319870948792,0.00012582966883201152,0.004145456477999687,0.9891319870948792,0.0065967002883553505,0,1,0.9999545812606812,0.7809543609619141,FP,10,10,143.02182006835938,32.248291015625,2,3.386178970336914,659.8084716796875,142.494140625,0.5276797413825989,0.0
658122,35583,0,mixed/unsupported,muon,0,0.9364317655563354,0.9364317655563354,0.0634130910038948,0.00015317041834350675,2.007971716011525e-06,0,1,0.9987020492553711,0.7809543609619141,FP,11,9,50.27866744995117,9.023768424987793,3,14338.1357421875,1140.754638671875,5.343380451202393,18.87250328063965,26.062782287597656
328300,17742,0,mixed/unsupported,muon,0,0.9367020726203918,0.9367020726203918,0.004931386094540358,0.056704968214035034,0.0016615557251498103,0,1,0.9986428618431091,0.7809543609619141,FP,6,5,26.42009162902832,12.336012840270996,2,30055.18359375,1000.578857421875,0.0,2.183288812637329,24.23680305480957
379775,20472,1,electron,photon,0,0.6065307855606079,0.007832255214452744,0.38562339544296265,0.6065307855606079,1.3521196706278715e-05,0,1,0.9941092729568481,0.7809543609619141,FP,18,11,124.17271423339844,23.016523361206055,2,2.9728164672851562,721.9969482421875,66.10511779785156,58.06759262084961,0.0
452264,24328,1,muon,photon,0,0.9437006711959839,0.0027003807481378317,0.05359881371259689,0.9437006711959839,7.892800368836106e-08,0,1,0.9939674139022827,0.7809543609619141,FP,18,9,61.156837463378906,21.27079963684082,3,3.558032989501953,1218.9647216796875,14.234617233276367,46.86419677734375,0.05801831930875778
795199,42828,1,electron,electron,1,0.9729787111282349,0.0028526228852570057,0.9729787111282349,0.024168282747268677,3.552653993210697e-07,0,1,0.9934260845184326,0.7809543609619141,FP,11,4,20.026473999023438,7.464456081390381,3,3.867340087890625,1127.25146484375,2.1925323009490967,0.5218765139579773,17.312063217163086
653981,35370,1,photon,electron,0,0.9559969305992126,0.004768996965140104,0.9559969305992126,0.03922847658395767,5.615105237666285e-06,0,1,0.9912189841270447,0.7809543609619141,FP,14,7,23.433143615722656,6.2362236976623535,3,5.256866455078125,1239.240234375,2.2182259559631348,7.279730796813965,13.935186386108398
336544,18179,1,muon,electron,0,0.9631749987602234,0.01784306764602661,0.9631749987602234,0.018921146169304848,6.070775634725578e-05,0,1,0.9902458190917969,0.7809543609619141,FP,19,14,70.85240936279297,11.455292701721191,3,4.744083404541016,1263.6417236328125,4.8346757888793945,44.68259811401367,21.33513641357422
700987,37916,1,photon,photon,1,0.8952407240867615,0.0009632622823119164,0.10379485785961151,0.8952407240867615,1.1271877156104892e-06,0,1,0.9900075197219849,0.7809543609619141,FP,17,11,67.7625732421875,13.618667602539062,3,5.577121734619141,1350.5406494140625,20.552005767822266,42.680419921875,4.53014612197876
