event_id,dataset_index,primary_count,primary_pdgs,multiplicity_group,particle_valid,particle_truth_id,particle_truth,particle_pred_id,particle_pred,particle_correct,particle_confidence,stop_truth,stop_probability,stop_pred
980956,52910,3,22;-13;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9999951124191284,0,1.9603545808877243e-07,0
630268,34045,3,22;22;22,multi_same_family,1,2,photon,0,muon,0,0.9999829530715942,1,9.214934948431619e-07,0
460806,24809,5,22;-13;-13;22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9999814033508301,0,0.00015840298146940768,0
523916,28251,2,11;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9999773502349854,0,0.0015501325251534581,0
675298,36533,2,22;11,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9999585151672363,0,4.482557415030897e-06,0
342460,18500,2,-11;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9998674392700195,1,7.700057904003188e-05,0
212336,11498,2,22;11,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.999796450138092,1,0.28854721784591675,0
504467,27183,4,-13;13;22;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9996709823608398,0,0.8335022926330566,1
828668,44712,3,13;-11;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9995996356010437,0,0.001386464573442936,0
672168,36386,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9995437264442444,0,1.0261860552418511e-06,0
366724,19786,3,-13;-13;22,multi_mixed_family,0,-1,mixed/unsupported,2,photon,0,0.9993785619735718,1,0.998917818069458,1
478712,25806,2,-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9992249011993408,0,8.213411201163368e-11,0
518267,27947,3,-13;22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9988993406295776,1,6.685112566628959e-06,0
74471,4117,8,22;13;13;22;2112;22;13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9986053109169006,0,0.005574606824666262,0
399024,21530,4,22;-13;-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9982055425643921,0,1.5140576579142362e-06,0
530565,28601,2,13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9980682730674744,0,6.397952802217333e-06,0
277913,15013,2,13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9975659847259521,0,1.8217513570562005e-05,0
551466,29672,2,-13;11,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9974639415740967,0,7.918606002021988e-07,0
614207,33187,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9970278143882751,0,5.403820978244767e-06,0
329409,17807,2,-11;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9965086579322815,0,0.01565835066139698,0
491438,26507,4,-13;13;2112;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9964925646781921,0,4.357074885774637e-06,0
893093,48091,5,-13;22;22;13;-11,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9962601661682129,0,7.008357351878658e-05,0
522704,28187,13,-13;-13;-13;13;-13;22;13;22;-13;-13;22;-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9953513145446777,0,1.5902361383268726e-07,0
211018,11420,2,22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9951672554016113,0,4.138185613555834e-05,0
792331,42667,3,-11;22;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9949604272842407,1,3.2586289222535925e-08,0
289128,15614,5,22;22;22;13;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9946610331535339,0,4.399908721097745e-05,0
579146,31188,6,22;22;22;13;22;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9946531057357788,0,0.017624298110604286,0
536892,28900,3,11;-13;-13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9943242073059082,0,5.88062139286194e-05,0
920149,49577,3,13;22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9936168193817139,0,0.0027286445256322622,0
823401,44388,2,22;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9914705157279968,0,4.3440952140372247e-05,0
723220,39062,2,13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.989700436592102,0,1.2961507991349208e-06,0
539139,29031,4,22;22;13;13,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9887160658836365,0,0.003741616616025567,0
454658,24468,2,-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9885057210922241,0,0.01135595329105854,0
916262,49366,7,-13;22;13;2112;22;-13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9882022738456726,0,1.1964014447585214e-05,0
417823,22526,6,-13;22;22;22;13;22,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9869440793991089,0,0.0006464712787419558,0
559381,30116,2,22;2212,multi_mixed_family,0,-1,mixed/unsupported,0,muon,0,0.9865213632583618,0,5.7000896049430594e-05,0
